Cell Line;Collection Date;Created By Name;Experiment #;Freezerworks ID;Globally Unique Sample ID;Lab Member;Notes;Number of Aliquots Total;Number of Aliquots with Positions;Passage Number;Result;Sample Creation Date;Sample Creation Time;Sample Modification Date;Sample Modification Time;Sample Modified By;Sample Type;Source;Subject ID;Total Current Amount;Aliquot Modification Date;Aliquot Modification Time;Aliquot Modified By;Aliquot Notes;Aliquot Number;Aliquot Type;Aliquot/SubA Passage#;Aliquots Creation Date;Current Amount;Disposition;Freezer Alias;Freezer Name;Freezer Section;Globally Unique Aliquot ID;Initial Amount;Lab Member (sub-aliquots);Parent Aliquot ID;Position 1;Position 2;Position 3;Position 4;Position 5;Thaws;Unique Aliquot ID;Transaction Activity;Transaction Creation Date;Transaction Date;Transaction Notes;Transaction Time;Transaction User Name;Sample Notes
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;9/4/2019;11:59:29;;Thawed by MTS on 09.04.19;1;Cells;p+33;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100000A;;MTS;0;4;F;1;1;;0;100000;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;11/5/2019;12:27:36;;11-5-19 MTS Checked out;2;Cells;p+33;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100001A;;MTS;0;4;F;1;2;;0;100001;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;3;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100002A;;;0;4;F;1;3;;0;100002;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;4;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100003A;;;0;4;F;1;4;;0;100003;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;5;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100004A;;;0;4;F;1;5;;0;100004;;;;;;;Legacy MM134 from Oesterreich Lab banks
MDA MB 134VI (MM134);2/2/2017;admin;;100000;ZZZ100033;Matt Sikora;;6;6;p+33;;2/8/2017;15:48:14;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;6;Cells;p+33;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100005A;;;0;4;F;1;6;;0;100005;;;;;;;Legacy MM134 from Oesterreich Lab banks
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100006A;;;0;4;F;1;7;;0;100006;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;9/3/2019;14:04:21;;Checked out by EKB on 09/03/19;2;Cells;pX13;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100007A;;EKB;0;4;F;1;8;;0;100007;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;1/17/2019;16:27:58;;Checked out by EKB on 11.28.18;3;Cells;pX13;3/28/2017;;Used;;;;SQZ100008A;;EKB;0;;;;;;0;100008;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;1/20/2022;10:32:44;;;4;Cells;pX13;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100009A;;JS;0;4;F;2;1;;0;100009;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;6/8/2023;17:11:11;;Checked out 6.8.23 MTS;5;Cells;pX13;3/28/2017;;Checked Out;;Sikora LN2 #1;LN2 Canes;SQZ100010A;;MTS;0;4;F;2;2;;0;100010;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;6;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100011A;;;0;4;F;2;3;;0;100011;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;7;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100012A;;;0;4;F;2;4;;0;100012;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;8;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100013A;;;0;4;F;2;5;;0;100013;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100001;ZZZ100034;Matt Sikora;;9;8;pX13;;2/8/2017;15:50:11;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;9;Cells;pX13;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100014A;;;0;4;F;2;6;;0;100014;;;;;;;From early passage frozen vials shipped from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;1;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100015A;;;0;4;F;2;7;;0;100015;;;;;;;From early passage frozen vials from SO Lab
134:L/E;2/2/2017;admin;MJS_0049;100002;ZZZ100035;Matt Sikora;;9;8;pX20;;2/8/2017;15:51:02;;;;;UPMC/MJS;;0;00/00/00;00:00:00;;;2;Cells;pX20;3/28/2017;;In Storage;;Sikora LN2 #1;LN2 Canes;SQZ100016A;;;0;4;F;2;8;;0;100016;;;;;;;From early passage frozen vials from SO Lab
